Symbol,CIK
HBIO,0001123494
HBNB,0002054507
HBNC,0000706129
HBT,0000775215
HCAI,0001958399
HCAT,0001636422
HCHL,0002046656
HCKT,0001057379
HCM,0001648257
HCSG,0000731012
HCTI,0001839285
HCWB,0001828673
HDL,0001995306
HDSN,0000925528
HEAL,None
HECO,None
HEJD,None
HELE,0000916789
HEPS,0001850235
HERD,None
HERO,None
HERZ,0000880406
HFBL,0001500375
HFFG,0001680873
HFWA,0001046025
HGBL,0000849145
HHS,0000045919
HIDE,None
HIFS,None
HIHO,0001026785
HIMX,0001342338
HIMZ,None
HISF,None
HIT,0002019505
HITI,0001847409
HIVE,0001720424
HKIT,0001742341
HKPD,0002007702
HLAL,None
HLIT,0000851310
HLMN,0001822492
HLNE,0001433642
HLVX,0001888012
HLXB,0001869105
HMST,0001518715
HNDL,None
HNNA,0001145255
HNNAZ,0001145255
HNRG,0000788965
HNST,0001530979
HOFT,0001077688
HOLO,0001841209
HOLX,0000859737
HON,0000773840
HOND,0002019804
HONE,0001769617
HOOD,0001783879
HOOG,None
HOOK,0001760542
HOOX,None
HOPE,0001128361
HOTH,0001711786
HOWL,0001785530
HPAI,0002001699
HPK,0001792849
HQGO,None
HQI,0001140102
HQY,0001428336
HRMY,0001802665
HROWL,0001360214
HROWM,0001360214
HRTS,None
HRTX,0000818033
HRZN,0001487428
HSAI,0001861737
HSCS,0001468492
HSDT,0001610853
HSIC,0001000228
HSII,0001066605
HSON,0001210708
HSPO,0001946021
HSPT,0002032950
HST,0001070750
HSTM,0001095565
HTBK,0001053352
HTCO,0001928948
HTHT,0001483994
HTLD,0000799233
HTLM,0002023153
HTO,0000766829
HTOO,0001819794
HTZ,0001657853
HUBC,0001905660
HUBCZ,0001905660
HUBG,0000940942
HUDI,0001791725
HUIZ,0001778982
HUMA,0001818382
HURA,0001498382
HURC,0000315374
HURN,0001289848
HUT,0001964789
HVII,0001846416
HWAY,None
HWBK,0000893847
HWC,0000750577
HWCPZ,0000750577
HWH,0001897245
HWKN,0000046250
HWSM,None
HXHX,0001936817
HYBI,None
HYFM,0001695295
HYLS,None
HYMC,0001718405
HYMCL,0001718405
HYPD,0001682639
HYXF,None
HYZD,None
IAC,0001800227
IART,0000917520
IAS,0001842718
IBAC,0001998781
IBAT,None
IBB,None
IBEX,0001720420
IBG,0001924482
IBGA,None
IBGB,None
IBGK,None
IBGL,None
IBIO,0001420720
IBIT,0001980994
IBOC,0000315709
IBOT,None
IBRX,0001326110
IBTF,None
IBTG,None
IBTH,None
IBTI,None
IBTJ,None
IBTK,None
IBTL,None
IBTM,None
IBTO,None
ICCC,0000811641
ICCM,0001584371
ICFI,0001362004
ICG,0001895597
ICLN,None
ICMB,0001578348
ICON,0001995574
ICUI,0000883984
IDAI,0001718939
IDCC,0001405495
IDEF,None
IDN,0001040896
IDXX,0000874716
IDYA,0001676725
IEF,None
IEI,None
IESC,0001048268
IEUS,None
IFBD,0001815566
IFGL,None
IFLO,None
IFRX,0001708688
IFV,None
IGF,None
IGIB,None
IGIC,0001794338
IGMS,0001496323
IGOV,None
IGSB,None
IHRT,0001400891
IHYF,None
III,0001371489
IIIV,0001728688
IINN,0001837493
IJT,None
IKNA,0001835579
IKT,0001750149
ILAG,0001814963
ILIT,None
ILMN,0001110803
ILPT,0001717307
IMAB,0001778016
IMCC,0001792030
IMCV,None
IMDX,0001642380
IMG,0001527613
IMKTA,0000050493
IMMX,0001873835
IMNM,0001472012
IMNN,0000749647
IMOM,None
IMOS,0001123134
IMRN,0001660046
IMRX,0001790340
IMTE,0001668438
IMTX,0001809196
IMUX,0001280776
IMVT,0001764013
IMXI,0001683695
INAB,0001740279
INBK,0001562463
INBKZ,0001562463
INBS,0001725430
INBX,0002007919
INCY,0000879169
INDB,0000776901
INDH,None
INDI,0001841925
INDV,0001625297
INDY,None
INEO,0001933951
INGN,0001294133
INHD,0001961847
INKT,0001840229
INLF,0001991592
INM,0001728328
INMB,0001711754
INMD,0001742692
INNV,0001834376
INO,0001055726
INOD,0000903651
INRO,None
INSE,0001615063
INSG,0001022652
INSM,0001104506
INTA,0001565687
INTC,0000050863
INTG,0000069422
INTJ,0001916416
INTS,0001567264
INTZ,0000736012
INV,0002001557
INVA,0001080014
INVE,0001036044
INVZ,0001835654
IOBT,0001865494
IONL,None
IONS,0000874015
IONX,None
IONZ,None
IOVA,0001425205
IPA,0001715925
IPCX,0002012318
IPDN,0001546296
IPHA,0001598599
IPM,0001355839
IPOD,0002041047
IPSC,0001850119
IPX,0001898601
IQST,0001527702
IRBT,0001159167
IRD,0001228627
IRDM,0001418819
IREN,0001878848
IRIX,0001006045
IRMD,0001325618
IROH,0001901203
IRON,0001816736
IRTC,0001388658
IRWD,0001446847
ISBA,0000842517
ISHG,None
ISPC,0001558569
ISPO,0001820566
ISRG,0001035267
ISRL,0001915328
ISSC,0000836690
ISTB,None
ITIC,0000720858
ITOS,0001808865
ITRI,0000780571
ITRM,0001659323
ITRN,0001337117
IUS,None
IUSB,None
IUSG,None
IUSV,None
IVA,0001756594
IVAL,None
IVDA,0001397183
IVEG,None
IVF,0001417926
IVVD,0001832038
IXHL,0001873875
IXUS,None
IZEA,0001495231
IZM,0001854572
JACK,0000807882
JAGX,0001585608
JAKK,0001009829
JAMF,0001721947
JANX,0001817713
JAPN,None
JAZZ,0001232524
JBDI,0001964314
JBHT,0000728535
JBIO,0001798749
JBSS,0000880117
JCSE,0001905511
JCTC,0000885307
JD,0001549802
JDOC,None
JDZG,0001976908
JEM,0002018222
JFB,0002024306
JFIN,0001743102
JG,0001737339
JGLO,None
JIVE,None
JJSF,0000785956
JKHY,0000779152
JL,0001948436
JLHL,0002007846
JMID,None
JMSB,0001710482
JOUT,0000788329
JOYY,0001530238
JPEF,None
JPX,None
JPY,None
JRSH,0001696558
JSM,0001593538
JSMD,None
JSML,None
JTAI,0001861622
JTEK,None
JUNS,0001679628
JVA,0001007019
JWEL,0001805594
JXG,0001546383
JYD,0001938186
JYNT,0001612630
JZ,0001852440
JZXN,0001816172
KALA,0001479419
KALV,0001348911
KARO,0001828102
KAVL,0001762239
KBAB,None
KBSX,0002014254
KBWB,None
KBWD,None
KBWY,None
KC,0001795589
KCHV,0002053799
KE,0001606757
KEAT,None
KELYA,0000055135
KELYB,0000055135
KFFB,0001297341
KFII,0002029976
KG,0002055116
KGEI,0001477081
KHC,0001637459
KIDS,0001425450
KIDZ,0002022308
KINS,0000033992
KIRK,0001056285
KITT,0001849820
KLAC,0000319201
KLIC,0000056978
KLRS,0001754068
KLTO,0001907223
KLXE,0001738827
KMB,0000055785
KMDA,0001567529
KMLI,None
KMRK,0002049187
KMTS,0001877184
KNDI,0001720250
KNGZ,None
KNSA,0001730430
KOD,0001468748
KOID,None
KOPN,0000771266
KOSS,0000056701
KPDD,None
KPLT,0001785424
KPRX,0001372514
KPTI,0001503802
KRMA,None
KRMD,0000704440
KRNT,0001625791
KRNY,0001617242
KROS,0001664710
KRRO,0001703647
KRT,0001758021
KRUS,0001772177
KRYS,0001711279
KSPI,0001985487
KTCC,0000719733
KTOS,0001069258
KTTA,0001841330
KURA,0001422143
KVAC,0001889983
KVHI,0001007587
KWM,0002000756
KXIN,0001713539
KYTX,0001994702
KZIA,0001075880
LAB,0001162194
LAES,0001951222
LAKE,0000798081
LAND,0001495240
LANDM,0001495240
LANDO,0001495240
LARK,0001141688
LASE,0001807887
LAYS,None
LBGJ,0001896425
LBRDA,0001611983
LBRDK,0001611983
LBTYA,0001570585
LBTYB,0001570585
LBTYK,0001570585
LCCC,0002049248
LCDL,None
LCDS,None
LCFY,0001875547
LCID,0001811210
LCNB,0001074902
LCUT,0000874396
LDEM,None
LDRX,None
LDSF,None
LDWY,0000875355
LE,0000799288
LECO,0000059527
LEDS,0001333822
LEE,0000058361
LEGH,0001436208
LEGN,0001801198
LENZ,0001815776
LESL,0001821806
LEXI,None
LEXX,0001348362
LFMD,0000948320
LFSC,None
LFST,0001845257
LFUS,0000889331
LFVN,0000849146
LFWD,0001607962
LGCB,0001969401
LGCF,None
LGCL,0001954694
LGHL,0001806524
LGIH,0001580670
LGND,0000886163
LGO,0001400438
LGRO,None
LGVN,0001721484
LHAI,0002017758
LI,0001791706
LICN,0001876766
LIEN,0001843162
LIF,0001581760
LILA,0001712184
LILAK,0001712184
LIMN,0001971387
LIN,0001707925
LINC,0001286613
LIND,0001512499
LINE,0001868159
LINK,0000828146
LIQT,0001307579
LITE,0001633978
LITM,0001769697
LIVE,0001045742
LIVN,0001639691
LIXT,0001335105
LKFN,0000721994
LLYVA,0001560385
LLYVK,0001560385
LMAT,0001158895
LMB,0001606163
LMBS,None
LMFA,0001640384
LNKB,0001756701
LNKS,0001972074
LNT,0000352541
LNTH,0001521036
LNZA,0001843724
LOAN,0001080340
LOBO,0001932072
LOCO,0001606366
LOGI,0001032975
LOGO,None
LOKV,0002048951
LOPE,0001434588
LOT,0001962746
LOVE,0001701758
LPAA,0002015502
LPBB,0002023676
LPCN,0001535955
LPLA,0001397911
LPRO,0001806201
LPSN,0001102993
LPTH,0000889971
LPTX,0001509745
LQDA,0001819576
LQDT,0001235468
LRCX,0000707549
LRE,0001888980
LRGE,None
LRHC,0001879403
LRND,None
LSAK,0001041514
LSB,0001946399
LSBK,0002059653
LSCC,0000855658
LSE,0001985139
LSH,0001996192
LSTA,0000320017
LTRN,0001763950
LTRX,0001114925
LUCD,0001799011
LUCY,0001808377
LUNG,0001127537
LVHD,None
LVO,0001491419
LVRO,0001945711
LVTX,0001840748
LWAY,0000814586
LWLG,0001325964
LX,0001708259
LXEH,0001814067
LXEO,0001907108
LXRX,0001062822
LYEL,0001806952
LYFT,0001759509
LYRA,0001327273
LYTS,0000763532
LZ,0001286139
LZMH,0001967397
MAAS,0001750264
MACI,0002016221
MAMA,0001520358
MAMK,0002008007
MAMO,0001952853
MANH,0001056696
MAPS,0001779474
MARA,0001507605
MARPS,0000062362
MASI,0000937556
MASK,0001993097
MASS,0001555279
MAT,0000063276
MATH,0001682241
MAXI,None
MAXN,0001796898
MAYA,0002028355
MAYS,0000054187
MAZE,0001842295
MB,0002027265
MBAV,0002016072
MBB,None
MBBC,0001835385
MBCN,0000836147
MBIN,0001629019
MBINL,0001629019
MBINM,0001629019
MBINN,0001629019
MBIO,0001680048
MBLY,0001910139
MBNKO,0001000209
MBOT,0000883975
MBRX,0001659617
MBS,None
MBWM,0001042729
MBX,0001776111
MCBS,0001747068
MCDS,None
MCFT,0001638290
MCHI,None
MCHS,None
MCHX,0001224133
MCRB,0001609809
MCRI,0000907242
MCSE,None
MCVT,0001425355
MDAI,0001833498
MDB,0001441816
MDBH,0001934642
MDCX,0001997296
MDGL,0001157601
MDIA,0001784254
MDIV,None
MDLZ,0001103982
MDWD,0001593984
MDXG,0001376339
MDXH,0001872529
MEDX,None
MEGL,0001881472
MELI,0001099590
MEMS,None
MENS,0001954488
MEOH,0000886977
MERC,0001333274
MESA,0000810332
MESO,0001345099
META,0001326801
METC,0001687187
METCB,0001687187
METCL,0001687187
METCZ,0001687187
METD,None
MFH,0001527762
MFI,0001940941
MFIC,0001278752
MFICL,0001278752
MFIN,0001000209
MFLX,None
MGEE,0001161728
MGIC,0000876779
MGIH,0001903995
MGNI,0001595974
MGNX,0001125345
MGPI,0000835011
MGRC,0000752714
MGRM,0001769759
MGRT,0002033377
MGRX,0001938046
MGTX,0001735438
MGX,0001785279
MHUA,0001835615
MIDD,0000769520
MIGI,0001218683
MILN,None
MIMI,0001998560
MIND,0000926423
MIRA,0001904286
MIRM,0001759425
MIST,0001408443
MITK,0000807863
MJID,0001897532
MKAM,None
MKSI,0001049502
MKTX,0001278021
MLAB,0000724004
MLAC,0002029492
MLCO,0001381640
MLEC,0001937737
MLGO,0001800392
MLKN,0000066382
MLTX,0001821586
MLYS,0001933414
MMSI,0000856982
MMYT,0001495153
MNDO,0001119083
MNDY,0001845338
MNKD,0000899460
MNMD,0001813814
MNOV,0001226616
MNRO,0000876427
MNSB,0001693577
MNST,0000865752
MNTK,0001826600
MNTL,None
MNTS,0001781162
MNY,0001974044
MOB,0001898643
MOBX,0001855467
MODD,0001074871
MODL,None
MODV,0001220754
MOFG,0001412665
MOGO,0001602842
MOLN,0001745114
MOMO,0001610601
MOOD,None
MORN,0001289419
MOVE,0001734750
MPAA,0000918251
MPB,0000879635
MRAL,None
MRAM,0001438423
MRBK,0001750735
MRCC,0001512931
MRCY,0001049521
MREO,0001719714
MRM,0001819704
MRNA,0001682852
MRNO,0001988776
MRSN,0001442836
MRTN,0000799167
MRUS,0001651311
MRVI,0001823239
MRVL,0001835632
MRX,0001997464
MSAI,0001863990
MSBI,0001466026
MSDD,None
MSEX,0000066004
MSFD,None
MSFL,None
MSFT,0000789019
MSGM,0001821175
MSGY,0002020228
MSPRZ,0001802450
MSS,0001892292
MST,None
MSTX,None
MTC,0001742518
MTCH,0000891103
MTEK,0001872964
MTEN,0001948099
MTEX,0001056358
MTLS,0001091223
MTRX,0000866273
MTSI,0001493594
MTVA,0001638287
MUD,None
MULL,None
MULN,0001499961
MURA,0001971543
MVBF,0001277902
MVIS,0000065770
MVLL,None
MVST,0001760689
MWYN,0002030522
MXCT,0001287098
MXL,0001288469
MYCF,None
MYCG,None
MYCH,None
MYCI,None
MYCJ,None
MYCK,None
MYCL,None
MYCM,None
MYCN,None
MYGN,0000899923
MYMF,None
MYMG,None
MYMH,None
MYMI,None
MYMJ,None
MYNZ,0001874252
MYPS,0001823878
MYRG,0000700923
MYSZ,0001211805
MZTI,0000057515
NAAS,0001712178
NAGE,0001386570
NAII,0000787253
NAKA,0001946573
NAMI,0001967631
NAMM,0002026514
NAMS,0001936258
NAOV,0001326706
NATH,0000069733
NATO,None
NAUT,0001808805
NAVI,0001593538
NB,0001512228
NBBK,0001979330
NBIS,0001513845
NBIX,0000914475
NBN,None
NBTB,0000790359
NBTX,0001760854
NCI,0001916331
NCMI,0001377630
NCNA,0001709626
NCNO,0001902733
NCPB,None
NCPL,0001414767
NCRA,0001756180
NCSM,0001692427
NCT,0002018529
NCTY,0001296774
NDAA,None
NDLS,0001275158
NDRA,0001681682
NDSN,0000072331
NECB,0001847398
NEGG,0001474627
NEHC,0002028336
NEO,0001077183
NEOG,0000711377
NEON,0000087050
NEOV,0001748137
NEPH,0001196298
NERD,None
NERV,0001598646
NETD,0001975218
NEWT,0001587987
NEWTG,0001587987
NEWTH,0001587987
NEWTI,0001587987
NEWTZ,0001587987
NEWZ,None
NEXM,0000795800
NEXN,0001849396
NEXT,0001612720
NFBK,0001493225
NFE,0001749723
NFLX,0001065280
NFTY,None
NFXL,None
NFXS,None
NGNE,0001404644
NHIC,0002043699
NHTC,0000912061
NICE,0001003935
NIKL,None
NIPG,0001966233
NISN,0001603993
NITO,0001789192
NIVF,0001981662
NIXT,None
NIXX,0001462223
NKSH,0000796534
NKTX,0001787400
NMFC,0001496099
NMFCZ,0001496099
NMIH,0001547903
NMRA,0001885522
NMRK,0001690680
NMTC,0001500198
NN,0001865631
NNDM,0001643303
NNE,0001923891
NNNN,0001982708
NNOX,0001795251
NODK,0001681206
NOEM,0001956648
NOTV,0000720154
NOVT,0001076930
NOWL,None
NPAC,0002048948
NPCE,0001528287
NPFI,None
NRC,0000070487
NRDS,0001625278
NRES,None
NRIM,0001163370
NRIX,0001549595
NRSN,0001875091
NSI,None
NSIT,0000932696
NSSC,0000069633
NSTS,0001881592
NSYS,0000722313
NTCL,0001927578
NTCT,0001078075
NTES,0001110646
NTHI,0001979414
NTIC,0000875582
NTLA,0001652130
NTNX,0001618732
NTRA,0001604821
NTRB,0001676047
NTRS,0000073124
NTRSO,0000073124
NTWK,0001039280
NTWO,0002028027
NUKK,0001787518
NUSB,None
NUTX,0001479681
NUVL,0001861560
NUWE,0001506492
NVA,0001852551
NVAX,0001000694
NVCT,0001875558
NVD,None
NVDA,0001045810
NVDD,None
NVDG,None
NVDL,None
NVDS,None
NVEC,0000724910
NVEE,0001532961
NVFY,0001473334
NVMI,0001109345
NVNI,0001965143
NVNO,0001661053
NVTS,0001821769
NVVE,0001836875
NVX,0001859795
NVYY,None
NWBI,0001471265
NWE,0001993004
NWFL,0001013272
NWGL,0001948294
NWL,0000814453
NWPX,0001001385
NWS,0001564708
NWSA,0001564708
NWTG,0001934245
NWTN,0001932737
NXGL,0001468929
NXL,0001527352
NXPI,0001413447
NXPL,0001058307
NXST,0001142417
NXT,0001852131
NXTC,0001661059
NXTG,None
NXTT,0001784970
NXXT,0001817004
NYAX,0001901279
NYMT,0001273685
NYMTG,0001273685
NYMTH,0001273685
NYMTI,0001273685
NYMTL,0001273685
NYMTM,0001273685
NYMTN,0001273685
NYMTZ,0001273685
NYXH,0001857190
NZAC,None
NZUS,None
OABI,0001846253
OACC,0002029769
OBIL,None
OBIO,0001814114
OBLG,0000746210
OBT,0001754226
OCC,0001000230
OCCI,0001716951
OCCIM,0001716951
OCCIN,0001716951
OCCIO,0001716951
OCFC,0001004702
OCG,0001776067
OCGN,0001372299
OCS,0001953530
OCSL,0001414932
OCTO,0001892492
OCUL,0001393434
ODD,0001907085
ODDS,None
ODFL,0000878927
ODVWZ,0001431852
ODYS,0001577445
OESX,0001409375
OFAL,0002036307
OFIX,0000884624
OFLX,0001317945
OFS,0001487918
OFSSH,0001487918
OFSSO,0001487918
OGI,0001620737
OKLL,None
OKTA,0001660134
OKYO,0001849296
OLB,0001314196
OLED,0001005284
OLLI,0001639300
OLMA,0001750284
OLPX,0001868726
OM,0001484612
OMAB,0001378239
OMCC,0001000045
OMCL,0000926326
OMDA,0001611115
OMEX,0000798528
OMH,0001944902
OMSE,0002012219
ON,0001097864
ONB,0000707179
ONBPO,0000707179
ONC,0001651308
ONCO,0001782107
ONCY,0001129928
ONDS,0001646188
ONEG,0002030834
ONFO,0001825452
ONMD,0001849380
OOQB,None
OOSB,None
OPAL,0001842279
OPBK,0001722010
OPCH,0001014739
OPEN,0001801169
OPI,0001456772
OPINL,0001456772
OPK,0000944809
OPOF,0000740971
OPPJ,None
OPRA,0001737450
OPRT,0001538716
OPRX,0001448431
OPT,0001815620
OPTX,0001866816
OPTZ,None
OPXS,0001397016
ORCX,None
ORGN,0001802457
ORGO,0001661181
ORIC,0001796280
ORIS,0001964664
ORKA,0000907654
ORKT,0001979407
ORLY,0000898173
ORRF,0000826154
OS,0001889956
OSBC,0000357173
OSIS,0001039065
OSPN,0001044777
OSRH,0001840425
OSS,0001394056
OST,0001803407
OTEX,0001002638
OTGL,None
OTLK,0001649989
OTLY,0001843586
OTRK,0001136174
OUST,0001816581
OUSTZ,0001816581
OVBC,0000894671
OVID,0001636651
OVLY,0001431567
OXLC,0001495222
OXLCG,0001495222
OXLCI,0001495222
OXLCL,0001495222
OXLCN,0001495222
OXLCO,0001495222
OXLCZ,0001495222
OXSQG,0001259429
OXSQZ,0001259429
OYSE,0002042182
OZEM,None
OZK,0001569650
PAA,0001070423
PABD,None
PACB,0001299130
PAHC,0001069899
PAL,0001998768
PALD,None
PALI,0001357459
PAMT,0000798287
PANG,None
PANL,0001606909
PARA,0000813828
PARAA,0000813828
PASG,0001787297
PATK,0000076605
PATN,None
PAVM,0001624326
PAVS,0001751876
PAX,0001825570
PAYO,0001845815
PAYS,0001496443
PAYX,0000723531
PBBK,0001849670
PBFS,0001769663
PBHC,0001609065
PBM,0001985062
PBPB,0001195734
PBYI,0001401667
PC,0001998056
PCB,0001423869
PCH,0001338749
PCLA,0002018462
PCMM,None
PCRX,0001396814
PCSA,0001533743
PCSC,0002017526
PCT,0001830033
PCTY,0001591698
PCVX,0001649094
PCYO,0000276720
PDBA,None
PDBC,None
PDD,0001737806
PDDL,None
PDEX,0000788920
PDFS,0001120914
PDLB,0001874071
PDSB,0001472091
PDYN,0001826681
PEBK,0001093672
PEBO,0000318300
PECO,0001476204
PEGA,0001013857
PELI,0002037431
PENG,0001616533
PENN,0000921738
PEPG,0001835597
PEPS,None
PERI,0001338940
PESI,0000891532
PET,0001842356
PETS,0001040130
PETZ,0001684425
PEY,None
PEZ,None
PFAI,0002032755
PFBC,0001492165
PFF,None
PFG,0001126328
PFI,None
PFIS,0001056943
PFM,None
PFSA,0001859807
PFX,0001490349
PFXNZ,0001490349
PGC,0001050743
PGEN,0001356090
PGJ,None
PGNY,0001551306
PGY,0001883085
PHAT,0001783183
PHH,0001986247
PHIO,0001533040
PHLT,0001550695
PHO,None
PHOE,0002035709
PHUN,0001665300
PHVS,0001830487
PI,0001114995
PID,None
PIE,None
PIII,0001832511
PINC,0001577916
PIO,None
PIZ,None
PKBK,0001315399
PKOH,0000076282
PLAB,0000810136
PLAY,0001525769
PLBC,0001168455
PLBY,0001803914
PLCE,0001041859
PLL,0001728205
PLMK,0002030482
PLPC,0000080035
PLRX,0001746473
PLRZ,0001893645
PLSE,0001625101
PLTD,None
PLTG,None
PLTK,0001828016
PLTZ,None
PLUG,0001093691
PLUS,0001022408
PLUT,0001933021
PLXS,0000785786
PMAX,0002012096
PMBS,None
PMCB,0001157075
PMEC,0001891944
PMN,0001374339
PMTS,0001641614
PN,0002001288
PNBK,0001098146
PNQI,None
PNRG,0000056868
PNTG,0001766400
POAI,0001446159
POCI,0000867840
PODC,0001940177
PODD,0001145197
POET,0001437424
POLA,0001622345
POLE,0002025341
PONY,0001969302
POOL,0000945841
POWI,0000833640
POWL,0000080420
PPBI,0001028918
PPBT,0001614744
PPC,0000802481
PPH,None
PPI,None
PPIH,0000914122
PPSI,0001449792
PPTA,0001526243
PQJA,None
PQJL,None
PQOC,None
PRAA,0001185348
PRAX,0001689548
PRCH,0001784535
PRCT,0001588978
PRDO,0001046568
PRE,0001876431
PRFX,0001801834
PRFZ,None
PRGS,0000876167
PRLD,0001678660
PRME,0001894562
PRN,None
PROF,0001628808
PROK,0001850270
PROV,0001010470
PRPH,0000868278
PRPL,0001643953
PRPO,0001043961
PRSO,0000890394
PRTA,0001559053
PRTC,0001782999
PRTG,0001095435
PRTH,0001653558
PRTS,0001378950
PRVA,0001759655
PRZO,0001916241
PSC,None
PSCC,None
PSCD,None
PSCE,None
PSCF,None
PSCH,None
PSCI,None
PSCM,None
PSCT,None
PSEC,0001287032
PSET,None
PSHG,0001481241
PSIG,0001997201
PSIX,0001137091
PSL,None
PSMT,0001041803
PSNL,0001527753
PSNY,0001884082
PSTV,0001095981
PSWD,None
PT,0001716338
PTC,0000857005
PTCT,0001070081
PTEC,None
PTEN,0000889900
PTF,None
PTGX,0001377121
PTH,None
PTHL,0001970544
PTIX,0001022899
PTLE,0002016337
PTLO,0001871509
PTMN,0001372807
PTNM,0002046573
PTON,0001639825
PUBM,0001422930
PUI,None
PULM,0001574235
PVBC,0001778784
PVLA,0001583648
PWM,0001765850
PWOD,0000716605
PWRD,None
PXI,None
PXS,0001640043
PY,None
PYPD,0001611842
PYPG,None
PYPL,0001633917
PYXS,0001782223
PYZ,None
PZZA,0000901491
QABA,None
QAT,None
QB,None
QBIG,None
QBUF,None
QCLN,None
QCMD,None
QCML,None
QCOM,0000804328
QCRH,0000906465
QDEL,0001906324
QDTY,None
QETA,0001978528
QFIN,0001741530
QGRD,None
QH,0001781193
QHDG,None
QIPT,0001540013
QLGN,0001460702
QLYS,0001107843
QMCO,0000709283
QMID,None
QMMM,0001971542
QMOM,None
QNCX,0001662774
QNRX,0001671502
QNST,0001117297
QNTM,0001771885
QNXT,None
QOWZ,None
QQA,None
QQDN,None
QQHG,None
QQJG,None
QQLV,None
QQMG,None
QQQA,None
QQQE,None
QQQG,None
QQQH,None
QQQI,None
QQQJ,None
QQQM,None
QQQS,None
QQQT,None
QQQX,0001608741
QQQY,None
QQWZ,None
QQXT,None
QRHC,0001442236
QRMI,None
QRVO,0001604778
QSEA,0002047455
QSG,0001932770
QSI,0001816431
QSIX,None
QSML,None
QTEC,None
QTRX,0001503274
QTTB,0001661998
QTUM,None
QUBT,0001758009
QUIK,0000882508
QURE,0001590560
QVAL,None
QVCGA,0001355096
QYLD,None
QYLG,None
RAA,None
RADX,0001949257
RAIL,0001320854
RAIN,0002028293
RAND,0000081955
RANG,0002035644
RANI,0001856725
RAPT,0001673772
RARE,0001515673
RAVE,0000718332
RAY,0001948443
RAYA,0001825875
RAYS,None
RBB,0001499422
RBBN,0001708055
RBCAA,0000921557
RBIL,None
RBKB,0001751783
RBNE,0002039060
RCAT,0000748268
RCEL,0001762303
RCGE,None
RCKT,0001281895
RCKY,0000895456
RCMT,0000700841
RCON,0001442620
RCT,0002027360
RDAC,0002018145
RDAG,0002055459
RDCM,0001016838
RDGT,0001856084
RDHL,0001553846
RDI,0000716634
RDIB,0000716634
RDNT,0000790526
RDTL,None
RDTY,None
RDVT,0001720116
RDVY,None
RDZN,0001868640
REAI,None
REAL,0001573221
REAX,0001862461
REBN,0001707910
RECT,0001995116
REE,0001843588
REFI,0001867949
REG,0000910606
REGCO,0000910606
REGN,0000872589
REIT,None
RELI,0001812727
RELL,0000355948
RELY,0001782170
REMG,None
RENB,0001527728
RENT,0001468327
REPL,0001737953
RETO,0001687277
REVB,0001810560
REYN,0001786431
RFAI,0002012807
RFDI,None
RFEM,None
RFIL,0000740664
RGC,0001829667
RGCO,0001069533
RGEN,0000730272
RGLD,0000085535
RGLO,None
RGNX,0001590877
RGS,0000716643
RGTI,0001838359
RGTX,None
RHLD,0002039497
RIBB,0002035016
RICK,0000935419
RIGL,0001034842
RILY,0001464790
RILYG,0001464790
RILYK,0001464790
RILYL,0001464790
RILYN,0001464790
RILYT,0001464790
RILYZ,0001464790
RIME,0000923601
RING,None
RINT,None
RIOT,0001167419
RIVN,0001874178
RKDA,0001469443
RKLB,0001819994
RKLX,None
RLAY,0001812364
RLMD,0001553643
RLYB,0001739410
RMBI,0001767837
RMBL,0001596961
RMBS,0000917273
RMCF,0001616262
RMCO,0001843656
RMNI,0001635282
RMSG,0001983324
RMTI,0001041024
RNA,0001599901
RNAC,0001453687
RNAZ,0001829635
RNEM,None
RNIN,None
RNRG,None
RNTX,0001420565
RNXT,0001574094
ROAD,0001718227
ROBT,None
ROCK,0000912562
ROE,None
ROIV,0001635088
ROMA,0001945240
ROOT,0001788882
ROST,0000745732
RPAY,0001720592
RPD,0001560327
RPID,0001380106
RPRX,0001802768
RPTX,0001808158
RRBI,0001071236
RRGB,0001171759
RSLS,0001427570
RSSS,0001386301
RTAC,0002035173
RTH,None
RTXG,None
RUM,0001830081
RUN,0001469367
RUNN,None
RUSC,None
RUSHA,0001012019
RUSHB,0001012019
RVMD,0001628171
RVNL,None
RVPH,0001742927
RVSB,0001041368
RVSN,0001743905
RVYL,0001419275
RWAY,0001653384
RWAYL,0001653384
RWAYZ,0001653384
RXRX,0001601830
RXST,0001111485
RXT,0001810019
RYAAY,0001038683
RYET,0001873454
RYTM,0001649904
RZLT,0001509261
RZLV,0001920294
SABS,0001833214
SAFT,0001172052
SAFX,0002019793
SAGE,0001597553
SAGT,0002029138
SAIA,0001177702
SAIC,0001571123
SAIH,0001847075
SAIL,0002030781
SAMG,0001549966
SANA,0001770121
SANG,0001753368
SANM,0000897723
SARK,None
SATL,0001874315
SATS,0001415404
SAVA,0001069530
SBAC,0001034054
SBC,0001930313
SBCF,0000730708
SBET,0001981535
SBFG,0000767405
SBFM,0001402328
SBGI,0001971213
SBLK,0001386716
SBRA,0001492298
SBUX,0000829224
SCAG,0002000366
SCDS,None
SCHL,0000866729
SCKT,0000944075
SCLX,0001820190
SCNI,0001611747
SCNX,0001382574
SCPH,0001604950
SCSC,0000918965
SCVL,0000895447
SCWO,0000933972
SCYX,0001178253
SCZ,None
SDA,0001936804
SDG,None
SDHI,0002034037
SDM,0002014955
SDOT,0001701756
SDSI,None
SDST,0001831979
SDTY,None
SDVY,None
